;image_id;set_id;scene_id;version_id;dalt_id;coldef_type;is_correct;resp_time;observer_id;observer_coldef_type;session_id;filepath
196;33;1;1;0;0;0;0.0;0.834077775478363;10;2;6;images/set1/0330000000.png
197;34;1;1;1;0;0;0.0;1.968248724937439;10;2;6;images/set1/0340000000.png
198;34;1;1;1;1;1;0.0;0.8006876111030579;10;2;6;images/set1/0341010001.png
199;34;1;1;1;1;2;0.0;0.8173602819442749;10;2;6;images/set1/0341010002.png
200;34;1;1;1;2;1;0.0;1.3344781398773193;10;2;6;images/set1/0341020001.png
201;34;1;1;1;2;2;0.0;0.9342114925384521;10;2;6;images/set1/0341020002.png
202;34;1;1;1;3;1;0.0;0.7506381273269653;10;2;6;images/set1/0341030001.png
203;34;1;1;1;3;2;0.0;2.518690824508667;10;2;6;images/set1/0341030002.png
204;34;1;1;1;4;1;0.0;1.1509872674942017;10;2;6;images/set1/0341040001.png
205;34;1;1;1;4;2;1.0;1.1843146085739136;10;2;6;images/set1/0341040002.png
206;34;1;1;1;99;1;1.0;0.784277617931366;10;2;6;images/set1/0341990001.png
207;35;1;1;2;0;0;0.0;0.6506404280662537;10;2;6;images/set1/0350000000.png
208;35;1;1;2;1;1;0.0;1.0508557558059692;10;2;6;images/set1/0351010001.png
209;35;1;1;2;1;2;0.0;0.7006770968437195;10;2;6;images/set1/0351010002.png
210;35;1;1;2;2;1;0.0;1.3177858591079712;10;2;6;images/set1/0351020001.png
211;35;1;1;2;2;2;0.0;0.9008230566978455;10;2;6;images/set1/0351020002.png
212;35;1;1;2;3;1;0.0;2.435333728790283;10;2;6;images/set1/0351030001.png
213;35;1;1;2;3;2;0.0;1.317771315574646;10;2;6;images/set1/0351030002.png
214;35;1;1;2;4;1;0.0;1.000861406326294;10;2;6;images/set1/0351040001.png
215;35;1;1;2;4;2;1.0;1.3344460725784302;10;2;6;images/set1/0351040002.png
216;35;1;1;2;99;1;0.0;0.8007214069366455;10;2;6;images/set1/0351990001.png
217;39;1;3;0;0;0;0.0;0.6505959630012512;10;2;6;images/set1/0390000000.png
218;40;1;3;1;0;0;0.0;1.4178659915924072;10;2;6;images/set1/0400000000.png
219;40;1;3;1;1;1;0.0;0.6676509380340576;10;2;6;images/set1/0401010001.png
220;40;1;3;1;1;2;0.0;1.68471097946167;10;2;6;images/set1/0401010002.png
221;40;1;3;1;2;1;0.0;0.9841335415840149;10;2;6;images/set1/0401020001.png
222;40;1;3;1;2;2;0.0;0.7840535044670105;10;2;6;images/set1/0401020002.png
223;40;1;3;1;3;1;0.0;0.6671911478042603;10;2;6;images/set1/0401030001.png
224;40;1;3;1;3;2;1.0;1.2511038780212402;10;2;6;images/set1/0401030002.png
225;40;1;3;1;4;1;0.0;0.9174742698669434;10;2;6;images/set1/0401040001.png
226;40;1;3;1;4;2;0.0;0.6839963793754578;10;2;6;images/set1/0401040002.png
227;40;1;3;1;99;1;1.0;1.000876784324646;10;2;6;images/set1/0401990001.png
228;41;1;3;2;0;0;0.0;2.101715326309204;10;2;6;images/set1/0410000000.png
229;41;1;3;2;1;1;0.0;1.2344162464141846;10;2;6;images/set1/0411010001.png
230;41;1;3;2;1;2;0.0;0.8510352373123169;10;2;6;images/set1/0411010002.png
231;41;1;3;2;2;1;0.0;0.8340046405792236;10;2;6;images/set1/0411020001.png
232;41;1;3;2;2;2;0.0;0.7840312719345093;10;2;6;images/set1/0411020002.png
233;41;1;3;2;3;1;1.0;2.4518074989318848;10;2;6;images/set1/0411030001.png
234;41;1;3;2;3;2;0.0;0.8844172954559326;10;2;6;images/set1/0411030002.png
